Station,Year,Days90F,MaxTempYear,First90F,Last90F
DCA,1872,59,101.0,1872-04-26,1872-09-22
DCA,1873,45,101.0,1873-05-24,1873-09-05
DCA,1874,35,102.0,1874-05-10,1874-09-12
DCA,1875,17,98.0,1875-05-23,1875-09-03
DCA,1876,31,98.0,1876-05-29,1876-08-17
DCA,1877,26,98.0,1877-05-17,1877-08-31
DCA,1878,30,98.0,1878-06-27,1878-09-03
DCA,1879,27,102.0,1879-05-31,1879-10-03
DCA,1880,35,98.0,1880-05-09,1880-09-06
DCA,1881,51,104.0,1881-05-11,1881-10-01
DCA,1882,23,95.0,1882-06-10,1882-09-19
DCA,1883,27,97.0,1883-05-08,1883-08-23
DCA,1884,24,97.0,1884-05-23,1884-10-04
DCA,1885,26,99.0,1885-06-05,1885-09-09
DCA,1886,7,92.0,1886-07-07,1886-09-28
DCA,1887,22,103.0,1887-06-17,1887-09-07
DCA,1888,19,97.0,1888-06-15,1888-08-17
DCA,1889,8,93.0,1889-05-09,1889-08-31
DCA,1890,16,98.0,1890-06-05,1890-08-03
DCA,1891,10,95.0,1891-06-15,1891-09-18
DCA,1892,21,99.0,1892-06-13,1892-08-21
DCA,1893,21,97.0,1893-06-10,1893-08-26
DCA,1894,34,98.0,1894-06-04,1894-09-16
DCA,1895,32,98.0,1895-05-10,1895-09-26
DCA,1896,33,98.0,1896-04-17,1896-09-19
DCA,1897,16,97.0,1897-06-25,1897-09-11
DCA,1898,42,101.0,1898-05-20,1898-09-18
DCA,1899,26,97.0,1899-05-29,1899-09-08
DCA,1900,53,101.0,1900-05-13,1900-09-27
DCA,1901,28,102.0,1901-06-12,1901-09-15
DCA,1902,22,99.0,1902-05-23,1902-09-01
DCA,1903,14,96.0,1903-05-20,1903-08-28
DCA,1904,11,94.0,1904-06-05,1904-09-12
DCA,1905,7,95.0,1905-06-06,1905-08-13
DCA,1906,14,95.0,1906-05-17,1906-09-21
DCA,1907,13,93.0,1907-03-22,1907-09-21
DCA,1908,20,99.0,1908-05-28,1908-08-14
DCA,1909,23,96.0,1909-05-07,1909-08-28
DCA,1910,24,95.0,1910-04-30,1910-10-01
DCA,1911,41,101.0,1911-05-11,1911-08-28
DCA,1912,23,94.0,1912-05-24,1912-09-11
DCA,1913,32,97.0,1913-05-03,1913-09-07
DCA,1914,35,98.0,1914-05-12,1914-09-23
DCA,1915,26,97.0,1915-04-25,1915-09-17
DCA,1916,20,97.0,1916-05-28,1916-09-08
DCA,1917,11,99.0,1917-06-24,1917-08-28
DCA,1918,27,106.0,1918-05-06,1918-08-26
DCA,1919,25,101.0,1919-05-05,1919-10-11
DCA,1920,17,95.0,1920-06-11,1920-08-31
DCA,1921,33,96.0,1921-04-25,1921-09-18
DCA,1922,16,95.0,1922-06-07,1922-09-07
DCA,1923,28,98.0,1923-06-02,1923-08-15
DCA,1924,23,102.0,1924-06-18,1924-09-02
DCA,1925,38,100.0,1925-04-23,1925-09-13
DCA,1926,29,104.0,1926-06-14,1926-09-25
DCA,1927,18,97.0,1927-04-20,1927-10-01
DCA,1928,26,97.0,1928-05-04,1928-08-30
DCA,1929,37,97.0,1929-04-06,1929-09-10
DCA,1930,54,106.0,1930-04-11,1930-09-26
DCA,1931,43,99.0,1931-05-29,1931-09-23
DCA,1932,41,100.0,1932-05-07,1932-09-05
DCA,1933,34,100.0,1933-05-20,1933-09-25
DCA,1934,38,101.0,1934-05-05,1934-08-24
DCA,1935,29,98.0,1935-06-14,1935-08-15
DCA,1936,40,105.0,1936-05-08,1936-09-22
DCA,1937,37,97.0,1937-04-18,1937-09-04
DCA,1938,34,96.0,1938-06-07,1938-09-04
DCA,1939,38,100.0,1939-04-25,1939-10-10
DCA,1940,24,100.0,1940-05-14,1940-09-21
DCA,1941,45,99.0,1941-04-19,1941-10-07
DCA,1942,31,99.0,1942-04-06,1942-09-19
DCA,1943,59,100.0,1943-05-06,1943-09-06
DCA,1944,44,97.0,1944-05-16,1944-09-05
DCA,1945,20,99.0,1945-06-11,1945-09-29
DCA,1946,18,96.0,1946-06-08,1946-09-09
DCA,1947,18,96.0,1947-05-29,1947-09-14
DCA,1948,25,99.0,1948-05-11,1948-09-20
DCA,1949,26,97.0,1949-05-06,1949-08-27
DCA,1950,13,96.0,1950-05-06,1950-09-03
DCA,1951,28,96.0,1951-06-01,1951-10-05
DCA,1952,35,101.0,1952-06-06,1952-09-14
DCA,1953,44,100.0,1953-05-11,1953-09-05
DCA,1954,32,103.0,1954-06-12,1954-10-04
DCA,1955,31,98.0,1955-06-22,1955-08-22
DCA,1956,23,95.0,1956-05-13,1956-09-01
DCA,1957,46,101.0,1957-04-27,1957-09-13
DCA,1958,23,95.0,1958-06-09,1958-09-26
DCA,1959,42,100.0,1959-04-09,1959-10-05
DCA,1960,23,95.0,1960-04-14,1960-09-09
DCA,1961,36,95.0,1961-06-02,1961-09-25
DCA,1962,21,99.0,1962-05-15,1962-09-13
DCA,1963,28,96.0,1963-05-09,1963-09-12
DCA,1964,49,100.0,1964-05-08,1964-09-11
DCA,1965,48,97.0,1965-05-03,1965-09-22
DCA,1966,59,101.0,1966-05-06,1966-09-05
DCA,1967,24,95.0,1967-06-10,1967-10-05
DCA,1968,40,98.0,1968-06-16,1968-09-25
DCA,1969,39,100.0,1969-04-27,1969-09-07
DCA,1970,55,96.0,1970-05-09,1970-09-26
DCA,1971,29,93.0,1971-05-19,1971-09-10
DCA,1972,16,95.0,1972-07-03,1972-09-17
DCA,1973,37,98.0,1973-06-04,1973-09-29
DCA,1974,32,96.0,1974-04-29,1974-09-13
DCA,1975,35,98.0,1975-05-21,1975-08-30
DCA,1976,36,95.0,1976-04-16,1976-09-13
DCA,1977,46,100.0,1977-04-12,1977-09-19
DCA,1978,39,100.0,1978-06-02,1978-09-19
DCA,1979,20,97.0,1979-07-12,1979-08-31
DCA,1980,67,103.0,1980-05-13,1980-09-23
DCA,1981,33,98.0,1981-05-25,1981-09-14
DCA,1982,22,97.0,1982-05-12,1982-09-02
DCA,1983,55,101.0,1983-06-13,1983-09-20
DCA,1984,23,97.0,1984-05-22,1984-09-03
DCA,1985,28,98.0,1985-04-19,1985-09-10
DCA,1986,41,98.0,1986-05-07,1986-10-01
DCA,1987,45,100.0,1987-05-18,1987-08-27
DCA,1988,59,104.0,1988-05-30,1988-09-23
DCA,1989,22,96.0,1989-06-01,1989-09-11
DCA,1990,30,100.0,1990-04-26,1990-09-07
DCA,1991,59,101.0,1991-05-12,1991-09-18
DCA,1992,21,99.0,1992-05-23,1992-08-27
DCA,1993,51,100.0,1993-06-09,1993-09-15
DCA,1994,46,101.0,1994-04-27,1994-09-14
DCA,1995,52,99.0,1995-04-19,1995-09-14
DCA,1996,21,96.0,1996-05-19,1996-09-08
DCA,1997,42,105.0,1997-05-19,1997-10-06
DCA,1998,35,97.0,1998-05-19,1998-09-27
DCA,1999,48,103.0,1999-05-30,1999-08-29
DCA,2000,12,94.0,2000-05-07,2000-08-09
DCA,2001,16,97.0,2001-06-13,2001-08-10
DCA,2002,56,100.0,2002-04-16,2002-10-05
DCA,2003,20,94.0,2003-06-24,2003-08-30
DCA,2004,11,92.0,2004-04-19,2004-08-04
DCA,2005,39,97.0,2005-06-08,2005-09-23
DCA,2006,36,101.0,2006-05-30,2006-08-29
DCA,2007,44,102.0,2007-05-26,2007-10-09
DCA,2008,35,98.0,2008-06-07,2008-09-14
DCA,2009,22,97.0,2009-04-26,2009-08-27
DCA,2010,67,102.0,2010-04-06,2010-09-25
DCA,2011,50,104.0,2011-05-26,2011-08-26
DCA,2012,53,105.0,2012-05-28,2012-09-08
DCA,2013,35,97.0,2013-04-10,2013-10-06
DCA,2014,24,99.0,2014-05-13,2014-09-11
DCA,2015,52,98.0,2015-05-12,2015-09-09
DCA,2016,58,101.0,2016-06-11,2016-09-23
DCA,2017,43,98.0,2017-04-29,2017-09-27
DCA,2018,45,98.0,2018-05-02,2018-10-04
DCA,2019,62,99.0,2019-05-20,2019-10-02
DCA,2020,46,99.0,2020-06-03,2020-09-04
DCA,2021,48,97.0,2021-05-20,2021-09-15
DCA,2022,38,99.0,2022-05-21,2022-09-04
DCA,2023,32,99.0,2023-06-02,2023-09-08
DCA,2024,48,104.0,2024-05-02,2024-08-29
DCA,2025,36,99.0,2025-06-12,2025-09-19
DCA,2026,0,63.0,,
