MonthDay,YearsWithTS,PctOfYears,Roll7Pct,Month
06-01,7.0,23.333333333333332,17.142857142857142,6
06-02,8.0,26.666666666666668,17.142857142857142,6
06-03,5.0,16.666666666666664,17.619047619047617,6
06-04,3.0,10.0,16.190476190476193,6
06-05,5.0,16.666666666666664,15.238095238095237,6
06-06,2.0,6.666666666666667,13.809523809523808,6
06-07,4.0,13.333333333333334,14.285714285714286,6
06-08,5.0,16.666666666666664,15.238095238095237,6
06-09,5.0,16.666666666666664,16.666666666666668,6
06-10,6.0,20.0,19.047619047619044,6
06-11,5.0,16.666666666666664,19.523809523809522,6
06-12,8.0,26.666666666666668,19.047619047619044,6
06-13,7.0,23.333333333333332,19.523809523809526,6
06-14,5.0,16.666666666666664,19.047619047619047,6
06-15,4.0,13.333333333333334,20.0,6
06-16,6.0,20.0,21.9047619047619,6
06-17,5.0,16.666666666666664,21.904761904761905,6
06-18,7.0,23.333333333333332,22.38095238095238,6
06-19,12.0,40.0,23.333333333333336,6
06-20,7.0,23.333333333333332,22.857142857142854,6
06-21,6.0,20.0,22.38095238095238,6
06-22,6.0,20.0,21.904761904761905,6
06-23,5.0,16.666666666666664,18.571428571428573,6
06-24,4.0,13.333333333333334,18.095238095238095,6
06-25,6.0,20.0,19.523809523809522,6
06-26,5.0,16.666666666666664,20.0,6
06-27,6.0,20.0,20.952380952380953,6
06-28,9.0,30.0,23.333333333333332,6
06-29,7.0,23.333333333333332,23.809523809523807,6
06-30,7.0,23.333333333333332,25.238095238095237,6
