Year,Date,MinTemp
1872,Jan 31 1872,3.0
1873,Jan 30 1873,-6.0
1874,Jan 18 1874,9.0
1875,Jan 10 1875,-3.0
1876,Jan 14 1876,16.0
1877,Jan 03 1877,-3.0
1878,Jan 08 1878,-0.0
1879,Jan 03 1879,-0.0
1880,Jan 14 1880,14.0
1881,Jan 01 1881,-14.0
1882,Jan 24 1882,8.0
1883,Jan 23 1883,9.0
1884,Jan 06 1884,2.0
1885,Jan 22 1885,10.0
1886,Jan 13 1886,-1.0
1887,Jan 03 1887,6.0
1888,Jan 22 1888,9.0
1889,Jan 20 1889,23.0
1890,Jan 22 1890,19.0
1891,Jan 04 1891,21.0
1892,Jan 17 1892,4.0
1893,Jan 18 1893,-6.0
1894,Jan 28 1894,17.0
1895,Jan 13 1895,4.0
1896,Jan 06 1896,8.0
1897,Jan 26 1897,8.0
1898,Jan 04 1898,17.0
1899,Jan 02 1899,-1.0
1900,Jan 30 1900,8.0
1901,Jan 04 1901,13.0
1902,Jan 05 1902,14.0
1903,Jan 13 1903,11.0
1904,Jan 05 1904,3.0
1905,Jan 31 1905,-2.0
1906,Jan 10 1906,11.0
1907,Jan 27 1907,10.0
1908,Jan 31 1908,11.0
1909,Jan 19 1909,13.0
1910,Jan 01 1910,11.0
1911,Jan 24 1911,15.0
1912,Jan 14 1912,-13.0
1913,Jan 09 1913,24.0
1914,Jan 14 1914,7.0
1915,Jan 05 1915,18.0
1916,Jan 09 1916,8.0
1917,Jan 12 1917,14.0
1918,Jan 01 1918,1.0
1919,Jan 05 1919,11.0
1920,Jan 03 1920,9.0
1921,Jan 19 1921,11.0
1922,Jan 26 1922,11.0
1923,Jan 17 1923,19.0
1924,Jan 22 1924,6.0
1925,Jan 28 1925,3.0
1926,Jan 29 1926,7.0
1927,Jan 27 1927,8.0
1928,Jan 30 1928,7.0
1929,Jan 14 1929,8.0
1930,Jan 31 1930,6.0
1931,Jan 16 1931,16.0
1932,Jan 31 1932,25.0
1933,Jan 01 1933,20.0
1934,Jan 30 1934,8.0
1935,Jan 28 1935,-2.0
1936,Jan 23 1936,-0.0
1937,Jan 27 1937,29.0
1938,Jan 28 1938,18.0
1939,Jan 26 1939,17.0
1940,Jan 29 1940,7.0
1941,Jan 05 1941,21.0
1942,Jan 08 1942,7.0
1943,Jan 20 1943,15.0
1944,Jan 09 1944,16.0
1945,Jan 25 1945,11.0
1946,Jan 28 1946,11.0
1947,Jan 22 1947,12.0
1948,Jan 26 1948,5.0
1949,Jan 30 1949,21.0
1950,Jan 20 1950,22.0
1951,Jan 09 1951,18.0
1952,Jan 30 1952,15.0
1953,Jan 05 1953,25.0
1954,Jan 23 1954,13.0
1955,Jan 28 1955,12.0
1956,Jan 24 1956,20.0
1957,Jan 18 1957,8.0
1958,Jan 04 1958,18.0
1959,Jan 06 1959,11.0
1960,Jan 22 1960,20.0
1961,Jan 29 1961,5.0
1962,Jan 11 1962,9.0
1963,Jan 24 1963,3.0
1964,Jan 15 1964,7.0
1965,Jan 31 1965,9.0
1966,Jan 29 1966,9.0
1967,Jan 20 1967,17.0
1968,Jan 12 1968,7.0
1969,Jan 05 1969,13.0
1970,Jan 09 1970,4.0
1971,Jan 28 1971,14.0
1972,Jan 16 1972,3.0
1973,Jan 10 1973,17.0
1974,Jan 13 1974,22.0
1975,Jan 15 1975,19.0
1976,Jan 18 1976,11.0
1977,Jan 17 1977,2.0
1978,Jan 10 1978,10.0
1979,Jan 03 1979,10.0
1980,Jan 24 1980,20.0
1981,Jan 12 1981,11.0
1982,Jan 17 1982,-5.0
1983,Jan 20 1983,16.0
1984,Jan 22 1984,3.0
1985,Jan 21 1985,-4.0
1986,Jan 28 1986,12.0
1987,Jan 28 1987,7.0
1988,Jan 07 1988,10.0
1989,Jan 05 1989,19.0
1990,Jan 14 1990,26.0
1991,Jan 22 1991,18.0
1992,Jan 19 1992,14.0
1993,Jan 20 1993,22.0
1994,Jan 19 1994,-4.0
1995,Jan 05 1995,15.0
1996,Jan 11 1996,14.0
1997,Jan 19 1997,11.0
1998,Jan 01 1998,18.0
1999,Jan 06 1999,16.0
2000,Jan 22 2000,14.0
2001,Jan 03 2001,20.0
2002,Jan 01 2002,20.0
2003,Jan 18 2003,11.0
2004,Jan 10 2004,8.0
2005,Jan 24 2005,12.0
2006,Jan 07 2006,25.0
2007,Jan 26 2007,15.0
2008,Jan 21 2008,18.0
2009,Jan 17 2009,8.0
2010,Jan 03 2010,16.0
2011,Jan 22 2011,17.0
2012,Jan 04 2012,17.0
2013,Jan 23 2013,15.0
2014,Jan 07 2014,6.0
2015,Jan 08 2015,12.0
2016,Jan 19 2016,15.0
2017,Jan 08 2017,15.0
2018,Jan 07 2018,8.0
2019,Jan 31 2019,10.0
2020,Jan 21 2020,23.0
2021,Jan 29 2021,24.0
2022,Jan 22 2022,16.0
2023,Jan 15 2023,29.0
2024,Jan 17 2024,16.0
2025,Jan 22 2025,15.0
