Year,MaxTemp_F,MinTemp_F
1872,97.0,78.0
1873,95.0,73.0
1874,94.0,64.0
1875,86.0,67.0
1876,96.0,74.0
1877,82.0,68.0
1878,94.0,73.0
1879,92.0,73.0
1880,86.0,62.0
1881,92.0,71.0
1882,73.0,60.0
1883,94.0,75.0
1884,84.0,71.0
1885,85.0,61.0
1886,85.0,64.0
1887,84.0,71.0
1888,85.0,63.0
1889,82.0,71.0
1890,90.0,70.0
1891,80.0,62.0
1892,76.0,61.0
1893,82.0,60.0
1894,88.0,69.0
1895,76.0,62.0
1896,88.0,69.0
1897,87.0,73.0
1898,97.0,74.0
1899,89.0,67.0
1900,96.0,75.0
1901,94.0,72.0
1902,89.0,71.0
1903,90.0,71.0
1904,86.0,62.0
1905,87.0,71.0
1906,82.0,70.0
1907,81.0,52.0
1908,88.0,73.0
1909,74.0,56.0
1910,87.0,68.0
1911,97.0,75.0
1912,88.0,69.0
1913,91.0,67.0
1914,73.0,65.0
1915,84.0,65.0
1916,81.0,65.0
1917,82.0,66.0
1918,84.0,63.0
1919,100.0,72.0
1920,77.0,64.0
1921,94.0,72.0
1922,71.0,63.0
1923,89.0,68.0
1924,78.0,61.0
1925,90.0,67.0
1926,77.0,66.0
1927,74.0,59.0
1928,97.0,72.0
1929,84.0,58.0
1930,84.0,61.0
1931,77.0,71.0
1932,78.0,66.0
1933,79.0,52.0
1934,91.0,73.0
1935,83.0,64.0
1936,90.0,69.0
1937,83.0,63.0
1938,79.0,61.0
1939,88.0,70.0
1940,75.0,58.0
1941,68.0,64.0
1942,92.0,73.0
1943,81.0,67.0
1944,90.0,61.0
1945,83.0,65.0
1946,82.0,65.0
1947,84.0,64.0
1948,90.0,72.0
1949,92.0,72.0
1950,91.0,72.0
1951,87.0,69.0
1952,88.0,73.0
1953,84.0,70.0
1954,88.0,71.0
1955,97.0,75.0
1956,89.0,71.0
1957,97.0,69.0
1958,93.0,72.0
1959,87.0,66.0
1960,85.0,70.0
1961,80.0,65.0
1962,78.0,63.0
1963,81.0,60.0
1964,84.0,68.0
1965,90.0,62.0
1966,96.0,75.0
1967,81.0,59.0
1968,81.0,65.0
1969,91.0,67.0
1970,95.0,74.0
1971,85.0,63.0
1972,81.0,68.0
1973,92.0,71.0
1974,93.0,73.0
1975,83.0,67.0
1976,84.0,65.0
1977,94.0,72.0
1978,75.0,65.0
1979,78.0,60.0
1980,90.0,73.0
1981,80.0,70.0
1982,81.0,65.0
1983,92.0,75.0
1984,90.0,71.0
1985,88.0,69.0
1986,84.0,59.0
1987,87.0,74.0
1988,90.0,67.0
1989,80.0,74.0
1990,95.0,71.0
1991,78.0,71.0
1992,85.0,69.0
1993,96.0,72.0
1994,90.0,71.0
1995,86.0,70.0
1996,78.0,61.0
1997,94.0,72.0
1998,86.0,71.0
1999,99.0,77.0
2000,86.0,72.0
2001,88.0,70.0
2002,99.0,80.0
2003,91.0,69.0
2004,81.0,73.0
2005,89.0,71.0
2006,94.0,69.0
2007,87.0,69.0
2008,88.0,72.0
2009,84.0,63.0
2010,94.0,67.0
2011,91.0,73.0
2012,99.0,75.0
2013,89.0,76.0
2014,83.0,68.0
2015,85.0,72.0
2016,74.0,68.0
2017,92.0,76.0
2018,93.0,80.0
2019,91.0,76.0
2020,94.0,78.0
2021,85.0,64.0
2022,89.0,69.0
2023,93.0,73.0
2024,94.0,74.0
2025,87.0,71.0
