Year,Nice_Days
1872,17
1873,14
1874,16
1875,17
1876,13
1877,20
1878,17
1879,19
1880,14
1881,6
1882,13
1883,20
1884,16
1885,22
1886,18
1887,15
1888,11
1889,11
1890,17
1891,19
1892,21
1893,14
1894,14
1895,17
1896,14
1897,16
1898,16
1899,15
1900,10
1901,16
1902,16
1903,18
1904,21
1905,22
1906,13
1907,14
1908,25
1909,23
1910,21
1911,16
1912,10
1913,19
1914,18
1915,15
1916,18
1917,17
1918,19
1919,19
1920,20
1921,13
1922,20
1923,14
1924,17
1925,11
1926,16
1927,16
1928,12
1929,13
1930,13
1931,11
1932,20
1933,10
1934,14
1935,19
1936,14
1937,19
1938,15
1939,17
1940,21
1941,15
1942,12
1943,17
1944,14
1945,14
1946,18
1947,8
1948,16
1949,17
1950,14
1951,21
1952,19
1953,19
1954,12
1955,22
1956,10
1957,12
1958,21
1959,13
1960,18
1961,10
1962,14
1963,16
1964,14
1965,13
1966,10
1967,24
1968,20
1969,16
1970,15
1971,15
1972,15
1973,19
1974,17
1975,17
1976,16
1977,16
1978,16
1979,20
1980,10
1981,18
1982,20
1983,14
1984,18
1985,17
1986,20
1987,15
1988,20
1989,14
1990,17
1991,15
1992,13
1993,9
1994,21
1995,13
1996,14
1997,18
1998,12
1999,16
2000,21
2001,20
2002,16
2003,17
2004,19
2005,14
2006,22
2007,17
2008,13
2009,16
2010,12
2011,14
2012,18
2013,20
2014,19
2015,12
2016,10
2017,18
2018,8
2019,15
2020,15
2021,17
2022,15
2023,13
2024,13
2025,19
