MonthDay,Snow,Year
Nov 01,0.0,1872
Nov 02,0.0,1872
Nov 03,0.0,1872
Nov 04,4.0,1910
Nov 05,2.5,1891
Nov 06,6.5,1953
Nov 07,0.1,1953
Nov 08,0.0,1872
Nov 09,0.5,1900
Nov 10,0.0,1872
Nov 11,11.5,1987
Nov 12,0.6,1976
Nov 13,4.0,1904
Nov 14,3.5,1908
Nov 15,1.4,2018
Nov 16,0.0,1872
Nov 17,0.0,1872
Nov 18,0.0,1872
Nov 19,2.3,1955
Nov 20,0.5,1961
Nov 21,0.0,1872
Nov 22,1.6,1989
Nov 23,1.9,1989
Nov 24,1.5,1909
Nov 25,6.5,1938
Nov 26,2.2,1898
Nov 27,2.3,1978
Nov 28,3.0,1892
Nov 29,0.9,1952
Nov 30,6.9,1967
