Station,MonthDay,ThresholdF,YearsWith90F
DCA,03-22,90,1
DCA,03-23,90,1
DCA,03-29,90,1
DCA,04-06,90,3
DCA,04-07,90,2
DCA,04-08,90,1
DCA,04-09,90,1
DCA,04-10,90,1
DCA,04-11,90,1
DCA,04-12,90,1
DCA,04-13,90,1
DCA,04-14,90,1
DCA,04-16,90,2
DCA,04-17,90,3
DCA,04-18,90,4
DCA,04-19,90,6
DCA,04-20,90,3
DCA,04-22,90,1
DCA,04-23,90,2
DCA,04-24,90,2
DCA,04-25,90,4
DCA,04-26,90,6
DCA,04-27,90,5
DCA,04-28,90,1
DCA,04-29,90,2
DCA,04-30,90,2
DCA,05-01,90,1
DCA,05-02,90,2
DCA,05-03,90,3
DCA,05-04,90,4
DCA,05-05,90,4
DCA,05-06,90,6
DCA,05-07,90,9
DCA,05-08,90,6
DCA,05-09,90,8
DCA,05-10,90,7
DCA,05-11,90,6
DCA,05-12,90,9
DCA,05-13,90,9
DCA,05-14,90,4
DCA,05-15,90,4
DCA,05-16,90,4
DCA,05-17,90,6
DCA,05-18,90,11
DCA,05-19,90,11
DCA,05-20,90,12
DCA,05-21,90,7
DCA,05-22,90,8
DCA,05-23,90,14
DCA,05-24,90,11
DCA,05-25,90,4
DCA,05-26,90,13
DCA,05-27,90,12
DCA,05-28,90,11
DCA,05-29,90,16
DCA,05-30,90,20
DCA,05-31,90,21
DCA,06-01,90,21
DCA,06-02,90,24
DCA,06-03,90,16
DCA,06-04,90,11
DCA,06-05,90,19
DCA,06-06,90,21
DCA,06-07,90,25
DCA,06-08,90,25
DCA,06-09,90,23
DCA,06-10,90,28
DCA,06-11,90,31
DCA,06-12,90,32
DCA,06-13,90,32
DCA,06-14,90,32
DCA,06-15,90,29
DCA,06-16,90,26
DCA,06-17,90,28
DCA,06-18,90,30
DCA,06-19,90,31
DCA,06-20,90,40
DCA,06-21,90,46
DCA,06-22,90,49
DCA,06-23,90,39
DCA,06-24,90,50
DCA,06-25,90,52
DCA,06-26,90,56
DCA,06-27,90,51
DCA,06-28,90,54
DCA,06-29,90,55
DCA,06-30,90,49
DCA,07-01,90,49
DCA,07-02,90,54
DCA,07-03,90,59
DCA,07-04,90,57
DCA,07-05,90,51
DCA,07-06,90,50
DCA,07-07,90,62
DCA,07-08,90,64
DCA,07-09,90,57
DCA,07-10,90,57
DCA,07-11,90,53
DCA,07-12,90,62
DCA,07-13,90,60
DCA,07-14,90,56
DCA,07-15,90,66
DCA,07-16,90,81
DCA,07-17,90,73
DCA,07-18,90,70
DCA,07-19,90,74
DCA,07-20,90,73
DCA,07-21,90,67
DCA,07-22,90,55
DCA,07-23,90,54
DCA,07-24,90,56
DCA,07-25,90,57
DCA,07-26,90,62
DCA,07-27,90,70
DCA,07-28,90,74
DCA,07-29,90,64
DCA,07-30,90,58
DCA,07-31,90,60
DCA,08-01,90,55
DCA,08-02,90,55
DCA,08-03,90,51
DCA,08-04,90,56
DCA,08-05,90,51
DCA,08-06,90,46
DCA,08-07,90,45
DCA,08-08,90,54
DCA,08-09,90,55
DCA,08-10,90,52
DCA,08-11,90,50
DCA,08-12,90,45
DCA,08-13,90,44
DCA,08-14,90,41
DCA,08-15,90,41
DCA,08-16,90,45
DCA,08-17,90,47
DCA,08-18,90,35
DCA,08-19,90,29
DCA,08-20,90,28
DCA,08-21,90,35
DCA,08-22,90,26
DCA,08-23,90,20
DCA,08-24,90,30
DCA,08-25,90,40
DCA,08-26,90,37
DCA,08-27,90,32
DCA,08-28,90,38
DCA,08-29,90,35
DCA,08-30,90,37
DCA,08-31,90,37
DCA,09-01,90,40
DCA,09-02,90,31
DCA,09-03,90,35
DCA,09-04,90,30
DCA,09-05,90,26
DCA,09-06,90,27
DCA,09-07,90,26
DCA,09-08,90,25
DCA,09-09,90,29
DCA,09-10,90,22
DCA,09-11,90,18
DCA,09-12,90,17
DCA,09-13,90,17
DCA,09-14,90,13
DCA,09-15,90,11
DCA,09-16,90,10
DCA,09-17,90,7
DCA,09-18,90,7
DCA,09-19,90,10
DCA,09-20,90,6
DCA,09-21,90,9
DCA,09-22,90,11
DCA,09-23,90,14
DCA,09-24,90,9
DCA,09-25,90,9
DCA,09-26,90,7
DCA,09-27,90,4
DCA,09-28,90,3
DCA,09-29,90,5
DCA,09-30,90,2
DCA,10-01,90,5
DCA,10-02,90,1
DCA,10-03,90,2
DCA,10-04,90,6
DCA,10-05,90,5
DCA,10-06,90,3
DCA,10-07,90,2
DCA,10-08,90,1
DCA,10-09,90,2
DCA,10-10,90,1
DCA,10-11,90,1
