Winter,Days_32_or_less,Days_25_or_less
1871-1872,11,2
1872-1873,19,8
1873-1874,9,1
1874-1875,27,8
1875-1876,12,2
1876-1877,25,10
1877-1878,8,1
1878-1879,23,7
1879-1880,4,1
1880-1881,36,10
1881-1882,7,2
1882-1883,14,3
1883-1884,13,4
1884-1885,32,8
1885-1886,16,7
1886-1887,18,4
1887-1888,19,5
1888-1889,6,1
1889-1890,4,0
1890-1891,9,0
1891-1892,11,0
1892-1893,28,14
1893-1894,7,1
1894-1895,24,10
1895-1896,12,4
1896-1897,16,6
1897-1898,8,2
1898-1899,19,10
1899-1900,18,9
1900-1901,16,1
1901-1902,26,6
1902-1903,15,2
1903-1904,30,10
1904-1905,31,11
1905-1906,10,2
1906-1907,17,6
1907-1908,11,3
1908-1909,5,0
1909-1910,16,2
1910-1911,13,0
1911-1912,28,11
1912-1913,4,0
1913-1914,12,5
1914-1915,10,2
1915-1916,15,1
1916-1917,17,6
1917-1918,37,19
1918-1919,5,2
1919-1920,22,8
1920-1921,7,1
1921-1922,18,4
1922-1923,11,1
1923-1924,8,2
1924-1925,9,3
1925-1926,14,1
1926-1927,11,0
1927-1928,10,5
1928-1929,8,0
1929-1930,19,4
1930-1931,6,0
1931-1932,5,0
1932-1933,7,2
1933-1934,23,6
1934-1935,16,7
1935-1936,33,13
1936-1937,4,0
1937-1938,6,1
1938-1939,6,0
1939-1940,21,4
1940-1941,6,0
1941-1942,8,4
1942-1943,9,2
1943-1944,10,1
1944-1945,10,1
1945-1946,14,0
1946-1947,7,2
1947-1948,18,5
1948-1949,2,0
1949-1950,2,0
1950-1951,12,2
1951-1952,5,1
1952-1953,1,0
1953-1954,9,0
1954-1955,11,2
1955-1956,7,0
1956-1957,9,2
1957-1958,13,3
1958-1959,16,3
1959-1960,10,0
1960-1961,21,9
1961-1962,12,2
1962-1963,18,6
1963-1964,11,2
1964-1965,7,4
1965-1966,6,3
1966-1967,8,1
1967-1968,11,5
1968-1969,6,0
1969-1970,13,5
1970-1971,11,3
1971-1972,3,1
1972-1973,6,1
1973-1974,2,0
1974-1975,2,0
1975-1976,6,1
1976-1977,15,3
1977-1978,11,1
1978-1979,15,7
1979-1980,7,2
1980-1981,14,2
1981-1982,14,5
1982-1983,2,0
1983-1984,15,5
1984-1985,12,1
1985-1986,15,3
1986-1987,7,1
1987-1988,13,4
1988-1989,6,1
1989-1990,14,5
1990-1991,3,0
1991-1992,1,1
1992-1993,6,0
1993-1994,17,8
1994-1995,6,1
1995-1996,19,5
1996-1997,6,2
1997-1998,0,0
1998-1999,12,1
1999-2000,10,4
2000-2001,7,0
2001-2002,1,0
2002-2003,13,3
2003-2004,15,3
2004-2005,11,4
2005-2006,3,0
2006-2007,8,1
2007-2008,2,0
2008-2009,10,1
2009-2010,10,1
2010-2011,5,0
2011-2012,1,0
2012-2013,4,1
2013-2014,10,4
2014-2015,12,4
2015-2016,10,0
2016-2017,4,1
2017-2018,12,5
2018-2019,4,3
2019-2020,0,0
2020-2021,3,0
2021-2022,3,0
2022-2023,1,1
2023-2024,4,0
2024-2025,6,2
2025-2026,11,5
