Winter,Days_32_or_less,Days_25_or_less,Days_20_or_less
1871-1872,73,37,24
1872-1873,102,56,36
1873-1874,91,39,14
1874-1875,116,54,36
1875-1876,87,38,22
1876-1877,100,55,32
1877-1878,63,25,10
1878-1879,97,41,26
1879-1880,74,24,12
1880-1881,116,59,39
1881-1882,75,22,9
1882-1883,114,46,23
1883-1884,81,39,21
1884-1885,101,59,41
1885-1886,81,41,28
1886-1887,102,45,28
1887-1888,103,48,30
1888-1889,77,28,11
1889-1890,64,17,7
1890-1891,86,34,11
1891-1892,96,46,22
1892-1893,100,56,37
1893-1894,79,33,10
1894-1895,96,48,30
1895-1896,104,42,24
1896-1897,86,41,23
1897-1898,77,31,13
1898-1899,97,46,30
1899-1900,101,50,32
1900-1901,89,49,25
1901-1902,101,56,35
1902-1903,74,38,19
1903-1904,115,78,48
1904-1905,116,59,41
1905-1906,93,36,19
1906-1907,91,45,26
1907-1908,94,41,16
1908-1909,90,26,10
1909-1910,88,43,23
1910-1911,103,40,14
1911-1912,100,47,31
1912-1913,80,29,11
1913-1914,92,39,21
1914-1915,96,36,15
1915-1916,96,42,16
1916-1917,92,42,25
1917-1918,106,59,40
1918-1919,67,16,6
1919-1920,104,56,37
1920-1921,64,21,8
1921-1922,72,34,18
1922-1923,84,30,16
1923-1924,73,22,12
1924-1925,78,37,18
1925-1926,92,40,18
1926-1927,76,31,14
1927-1928,73,30,15
1928-1929,76,42,17
1929-1930,68,35,16
1930-1931,78,29,10
1931-1932,42,14,7
1932-1933,59,25,17
1933-1934,85,48,38
1934-1935,76,31,17
1935-1936,76,49,35
1936-1937,70,22,6
1937-1938,62,29,10
1938-1939,62,26,10
1939-1940,83,41,29
1940-1941,86,36,6
1941-1942,70,27,15
1942-1943,86,30,15
1943-1944,83,39,13
1944-1945,74,33,14
1945-1946,68,33,15
1946-1947,78,26,15
1947-1948,90,47,22
1948-1949,45,13,4
1949-1950,64,15,5
1950-1951,77,30,15
1951-1952,69,15,6
1952-1953,55,11,1
1953-1954,72,22,11
1954-1955,76,28,14
1955-1956,86,35,12
1956-1957,63,19,10
1957-1958,64,30,19
1958-1959,80,40,20
1959-1960,77,27,11
1960-1961,81,43,32
1961-1962,78,31,16
1962-1963,87,47,29
1963-1964,86,38,22
1964-1965,87,40,20
1965-1966,77,36,14
1966-1967,78,31,18
1967-1968,85,45,25
1968-1969,82,33,16
1969-1970,98,43,19
1970-1971,77,34,17
1971-1972,64,28,10
1972-1973,56,25,18
1973-1974,48,14,4
1974-1975,52,11,3
1975-1976,54,20,13
1976-1977,95,58,38
1977-1978,80,46,25
1978-1979,60,32,18
1979-1980,57,22,9
1980-1981,56,30,22
1981-1982,73,36,19
1982-1983,49,15,6
1983-1984,64,34,16
1984-1985,69,34,14
1985-1986,73,35,21
1986-1987,68,19,9
1987-1988,72,32,18
1988-1989,62,21,8
1989-1990,71,29,16
1990-1991,47,12,6
1991-1992,74,22,6
1992-1993,71,24,11
1993-1994,78,36,21
1994-1995,58,18,10
1995-1996,88,44,23
1996-1997,53,14,6
1997-1998,42,5,2
1998-1999,55,24,8
1999-2000,51,22,8
2000-2001,82,35,9
2001-2002,46,11,2
2002-2003,81,36,18
2003-2004,72,29,18
2004-2005,62,29,15
2005-2006,66,14,3
2006-2007,68,32,16
2007-2008,41,13,3
2008-2009,81,32,14
2009-2010,62,25,11
2010-2011,77,22,5
2011-2012,30,7,1
2012-2013,42,9,5
2013-2014,81,33,17
2014-2015,62,32,20
2015-2016,47,19,11
2016-2017,41,12,5
2017-2018,58,27,18
2018-2019,47,11,7
2019-2020,40,7,0
2020-2021,60,7,0
2021-2022,57,24,6
2022-2023,36,6,6
2023-2024,32,8,2
2024-2025,52,20,6
2025-2026,66,26,20
